%hello all
@RELATION disease
@ATTRIBUTE R amplitudeNUMERIC
@ATTRIBUTE Q amplitude NUMERIC
@ATTRIBUTE P detection ratioNUMERIC 
@ATTRIBUTE S or QS detection ratio NUMERIC 
@ATTRIBUTE T detection ratio NUMERIC
@ATTRIBUTE disease {}
@DATA 
0.957083,0.940862,0.405544,0.450234,1,not
0.945167,0.945167,0.439991,0.447672,1,not
0.95925,0.95925,0.520271,0.459379,1,not
0.955333,0.955333,0.631492,0.433103,1,not
0.964333,0.948261,0.482167,0.427571,1,not
0.9565,0.907864,0.372873,0.439286,1,not
0.969667,0.891468,0.250237,0.427486,0.952327,not
0.968167,0.841194,0.365046,0.461868,1,not
0.95975,0.878415,0.422941,0.496696,1,not
0.969917,0.921421,0.355636,0.477328,1,not
0.94375,0.928021,0.361771,0.489407,1,not
0.961583,0.961583,0.281843,0.441236,1,not
0.9635,0.947442,0.305108,0.446199,1,not
0.96025,0.802832,0.236127,0.462292,1,not
0.954167,0.906458,0.222639,0.457924,1,not
0.949917,0.933539,0.31118,0.471071,1,not
0.960833,0.944548,0.260565,0.450982,1,not
0.964083,0.964083,0.299198,0.43924,1,not
0.964333,0.914454,0.299276,0.46845,1,not
0.942417,0.942417,0.330673,0.431265,1,not
0.956833,0.841353,0.395931,0.406154,1,not
0.952167,0.740574,0.0906825,0.386458,1,not
0.954833,0.775802,0.134273,0.399515,1,not
0.969083,0.738349,0.215352,0.407994,1,not
0.959333,0.802066,0.235902,0.427673,1,not
0.954583,0.890944,0.334104,0.409474,1,not
0.963417,0.915246,0.385367,0.403187,1,not
0.968083,0.968083,0.443021,0.420876,1,not
0.96625,0.949873,0.327542,0.436808,1,not
0.871903,0.726586,0.356687,0.398145,1,not
0.9585,0.846675,0.207675,0.391582,0.746532,not
0.953167,0.922907,0.226944,0.408624,0.655172,not
0.959167,0.927719,0.503169,0.412869,0.647799,not
0.967,0.90359,0.475574,0.407568,0.634738,not
0.957333,0.909467,0.4308,0.42325,0.672111,not
0.951167,0.951167,0.677102,0.423701,0.646453,not
0.9485,0.884195,0.546593,0.408164,0.617611,not
0.95675,0.923759,0.593845,0.413333,0.631979,not
0.95775,0.941237,0.577953,0.41408,0.677952,not
0.960583,0.894336,0.629348,0.407615,0.630666,not
0.953667,0.920782,0.608374,0.415546,0.670772,not
0.949583,0.949583,0.749671,0.407105,0.614183,not
0.963083,0.834672,0.449439,0.406222,0.653809,not
0.9655,0.949136,0.621847,0.395198,0.655965,not
0.963083,0.946478,0.880059,0.395776,0.607381,not
0.968417,0.935023,0.667874,0.392184,0.611963,not
0.95775,0.95775,0.739316,0.400906,0.631533,not
0.95375,0.95375,0.635833,0.406023,0.674466,not
0.956667,0.923099,0.604211,0.399591,0.634312,not
0.958,0.924386,0.62186,0.401491,0.684319,not
0.955083,0.921572,0.720501,0.409503,0.647297,not
0.956417,0.906079,0.822183,0.385058,0.614304,not
0.958583,0.892474,0.61151,0.396379,0.62466,not
0.954,0.954,0.719684,0.399825,0.663383,not
0.955583,0.939657,0.764467,0.36475,0.607088,not
0.945167,0.912575,0.619247,0.368506,0.625648,not
0.95825,0.875642,0.52869,0.382586,0.656844,not
0.9495,0.9495,0.589345,0.377184,0.629562,not
0.948083,0.882698,0.670197,0.374971,0.645525,not
0.954417,0.937961,0.691129,0.379138,0.634901,not
0.942417,0.942417,0.677879,0.37345,0.61622,not
0.960083,0.94353,0.711786,0.379828,0.619681,not
0.955417,0.724799,0.675381,0.310632,0.782635,not
0.96875,0,0.434267,0.171724,1,not
0.9685,0,0.434155,0.181207,1,not
0.958667,0,0.429747,0.172874,1,not
0.952833,0.0167164,0.351044,0.181287,0.968139,not
0.953583,0,0.334591,0.172632,1,not
0.95825,0,0.446082,0.173075,1,not
0.953,0.0158833,0.460617,0.169,0.788889,not
0.958083,0.0157063,0.251301,0.198083,0.801394,not
0.962333,0,0.130486,0.224011,0.924216,not
0.951833,0.0166988,0.200386,0.208713,0.841097,not
0.955,0.0502632,0.335088,0.212164,0.818512,not
0.965417,0.0891154,0.727776,0.195729,0.893546,not
0.963083,0.132839,0.630986,0.227807,1,not
0.956833,0.0724874,0.333442,0.176364,0.313131,not
0.955667,0,0.277452,0.16672,0.98794,not
0.969833,0.0153942,0.538796,0.164206,0.991607,not
0.954333,0.0156448,0.547568,0.178962,1,not
0.969833,0,0.400249,0.169074,1,not
0.964167,0.0438258,0.321389,0.186288,0.298328,not
0.956667,0.0579798,0.304394,0.223258,0.34535,not
0.962833,0.0424779,0.637169,0.163824,1,not
0.952667,0,0.604868,0.193571,1,not
0.961333,0.0424118,0.480667,0.156936,0.730486,not
0.974167,0.028652,0.515735,0.177402,0.854801,not
0.956667,0.0151852,0.303704,0.17881,0.888889,not
0.9665,0.0700362,0.294152,0.174372,0.184075,not
0.952833,0.0700613,0.336294,0.198856,0.315569,not
0.961167,0.0270751,0.0812254,0.214859,0.190869,not
0.956167,0.0149401,0.388443,0.193281,1,not
0.952167,0.0317389,0.428475,0.155891,1,not
0.956417,0,0.446328,0.1555,1,not
0.966333,0,0.52277,0.152077,1,not
0.962417,0,0.465168,0.152667,1,not
0.946167,0.0310219,0.480839,0.147568,0.961877,not
0.967333,0,0.348874,0.157295,1,not
0.9635,0.0310806,0.357427,0.178737,0.883389,not
0.967,0.0792623,0.649951,0.179727,1,not
0.963417,0.0592872,0.281614,0.182615,0.593103,not
0.961167,0.0443615,0.414041,0.180385,0.760212,not
0.959083,0,0.283008,0.205137,1,not
0.956667,0.0313661,0.439126,0.191776,0.930843,not
0.956167,0,0.339285,0.186667,1,not
0.9615,0,0.387702,0.192581,1,not
0.961833,0.0310269,0.341296,0.187419,0.914535,not
0.957,0,0.282393,0.184563,1,not
0.957917,0,0.255444,0.174722,1,not
0.950333,0,0.332617,0.183917,1,not
0.959583,0,0.20791,0.187889,1,not
0.955333,0,0.334367,0.198247,1,not
0.9695,0.048475,0.29085,0.195472,0.999042,not
0.956417,0.0159403,0.302865,0.182389,1,not
0.97025,0,0.345343,0.194407,1,not
0.95875,0,0.231422,0.193937,1,not
0.95725,0,0.275818,0.190282,1,not
0.965,0.0163559,0.310763,0.188678,1,not
0.955833,0,0.379037,0.185833,1,not
0.960917,0.0331351,0.381053,0.188822,0.940512,not
0.94975,0.0333246,0.483206,0.181813,1,not
0.954333,0.0167427,0.519023,0.191101,1,not
0.965083,0,0.541801,0.193977,1,not
0.953333,0,0.394483,0.187816,1,not
0.955083,0.016467,0.477542,0.195833,1,not
0.962917,0.0163206,0.310092,0.193475,1,not
0.960833,0,0.211709,0.19209,1,not
0.959833,0.0162684,0.390441,0.183136,1,not
0.956917,0,0.405473,0.189605,1,not
0.950667,0.0163908,0.426161,0.195,1,not
0.944417,0.0165687,0.414218,0.186082,1,not
0.964167,0.0831178,0.531954,0.192339,0.883076,not
0.957917,0,0.297284,0.174483,1,not
0.955,0.032931,0.32931,0.190805,0.984146,not
0.942833,0.0165409,0.578933,0.189881,1,not
0.963583,0,0.581473,0.1925,1,not
0.960667,0.0168538,0.48876,0.188421,1,not
0.9505,0.0166754,0.36686,0.183099,1,not
0.95725,0.0165043,0.412608,0.182989,1,not
0.9605,0.0325593,0.390712,0.184153,1,not
0.957833,0.0162345,0.422096,0.179322,1,not
0.961917,0.0168757,0.371266,0.194678,1,not
0.965583,0.016648,0.382904,0.18842,1,not
0.969,0,0.501207,0.180718,1,not
0.951,0,0.517211,0.193187,1,not
0.961167,0.0305132,0.793344,0.158148,1,not
0.956417,0,0.541969,0.151328,1,not
0.96325,0.015791,0.80534,0.193607,1,not
0.9605,0.0320167,0.800417,0.189417,1,not
0.954,0,0.711458,0.175287,1,not
0.94725,0.0321102,0.610093,0.175537,1,not
0.968,0.0595692,0.238277,0.232608,0.828125,not
0.961333,0.0145657,0.203919,0.205631,0.889907,not
0.965833,0.0301823,0.120729,0.221016,0.761402,not
0.959667,0.0152328,0.182794,0.202381,0.931947,not
0.959083,0.0295103,0.162306,0.199744,0.598055,not
0.963333,0,0.262727,0.189141,1,not
0.965167,0,0.291082,0.218915,1,not
0.959833,0,0.377639,0.226639,1,not
0.970333,0,0.210239,0.213694,1,not
0.9475,0,0.305127,0.208559,1,not
0.964333,0,0.245169,0.220678,1,not
0.95525,0,0.115289,0.210948,1,not
0.94825,0,0.228888,0.213391,1,not
0.957167,0.0162232,0.210901,0.210424,0.956166,not
0.958083,0.0159681,0.111776,0.214889,0.846289,not
0.967,0,0.177283,0.208333,1,not
0.959,0,0.633915,0.218757,1,not
0.964333,0,0.343237,0.223672,1,not
0.957833,0.0294718,0.221038,0.206641,0.388111,not
0.965833,0.014859,0.0594359,0.212359,0.78125,not
0.9705,0,0.106148,0.221536,1,not
0.965417,0,0.115274,0.207139,0.755834,not
0.951667,0,0.158611,0.20048,0.895681,not
0.960083,0.0147705,0.118164,0.230564,0.759519,not
0.960167,0.0154866,0.201325,0.204044,0.946607,not
0.9605,0,0.236189,0.226858,1,not
0.964,0,0.0964,0.240806,1,not
0.950167,0,0.133357,0.241608,1,not
0.948833,0,0.220265,0.229226,1,not
0.95975,0,0.188522,0.241369,1,not
0.958583,0,0.214855,0.219943,1,not
0.959,0.0314426,0.314426,0.212404,0.980592,not
0.966167,0,0.282418,0.215729,0.963362,not
0.970083,0.0265776,0.0930217,0.184566,0.389073,not
0.9625,0.0126645,0.101316,0.191974,0.325318,not
0.965167,0,0.0376039,0.199697,0.287655,not
0.956167,0.0130982,0.117884,0.221507,0.557791,not
0.958167,0,0.0833188,0.22558,0.830503,not
0.958583,0,0.0737372,0.226487,0.89107,not
0.963083,0.042489,0.127467,0.220686,0.467039,not
0.957917,0.0138829,0.111063,0.202729,0.483758,not
0.970667,0,0.126609,0.220193,0.838404,not
0.962083,0.0300651,0.165358,0.200755,0.758082,not
0.963917,0.102234,0.36512,0.234948,0.608665,not
0.95875,0,0.170101,0.207312,1,not
0.96425,0.0612222,0.214278,0.21,0.846014,not
